label,wheel,subset_type,trial,n_queries_total,n_queries_eval,query_fraction,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,schedule_fraction,fraction_of_all_queries
mod2310_random_progress_0.3_08,mod2310,random_progress,8,1119,70,0.06255585344057193,0.0012740509998820926,0.8857142857142857,0.8716432225063937,0.16690923018000767,0.30000000000000004,0.06255585344057193
mod2310_random_progress_0.3_09,mod2310,random_progress,9,1119,70,0.06255585344057193,0.0006734090000009019,0.8428571428571429,0.8405056759545924,0.10404698072258395,0.30000000000000004,0.06255585344057193
mod2310_progress_0.4,mod2310,deterministic_progress,-1,1119,94,0.0840035746201966,0.0007093860001532448,0.9042553191489362,0.9066673740803622,0.13961934097693612,0.4,0.0840035746201966
mod2310_random_progress_0.4_00,mod2310,random_progress,0,1119,94,0.0840035746201966,0.0007100640000317071,0.9042553191489362,0.8949190126909092,0.17952959519327666,0.4,0.0840035746201966
mod2310_random_progress_0.4_01,mod2310,random_progress,1,1119,94,0.0840035746201966,0.0009573859999818524,0.8829787234042553,0.8860119047619048,0.09706614948757442,0.4,0.0840035746201966
mod2310_random_progress_0.4_02,mod2310,random_progress,2,1119,94,0.0840035746201966,0.000760843999842109,0.8617021276595744,0.8645913154533844,0.13891582529994492,0.4,0.0840035746201966
mod2310_random_progress_0.4_03,mod2310,random_progress,3,1119,94,0.0840035746201966,0.000688304000050266,0.9042553191489362,0.8822303921568627,0.20150970661494877,0.4,0.0840035746201966
mod2310_random_progress_0.4_04,mod2310,random_progress,4,1119,94,0.0840035746201966,0.0008558770000490767,0.8829787234042553,0.8881072631072632,0.07578955374289359,0.4,0.0840035746201966
mod2310_random_progress_0.4_05,mod2310,random_progress,5,1119,94,0.0840035746201966,0.0006861639999442559,0.8723404255319149,0.8604188948306595,0.11927442815583825,0.4,0.0840035746201966
mod2310_random_progress_0.4_06,mod2310,random_progress,6,1119,94,0.0840035746201966,0.0007639599998583435,0.8723404255319149,0.8582535885167464,0.1269560587910938,0.4,0.0840035746201966
mod2310_random_progress_0.4_07,mod2310,random_progress,7,1119,94,0.0840035746201966,0.0008538539998426131,0.8404255319148937,0.8442535725144421,0.1367482364573232,0.4,0.0840035746201966
mod2310_random_progress_0.4_08,mod2310,random_progress,8,1119,94,0.0840035746201966,0.0017845380000380828,0.925531914893617,0.9146634615384616,0.11927442815583827,0.4,0.0840035746201966
mod2310_random_progress_0.4_09,mod2310,random_progress,9,1119,94,0.0840035746201966,0.0008456890000161366,0.8617021276595744,0.8779973649538867,0.18217253246629783,0.4,0.0840035746201966
